Placeholder ,Solar Flare,The caster of this spell will emit a burning glow of pure fire energy. The holy light will imbue each of the caster's allies with the Blessing of the Warrior.,LORE
Placeholder ,Tidal Force,This spell generates a powerful gravity around the caster. The target's Allie's will all be forced into a new position.,LORE
Placeholder ,Nebula Storm,This spell causes a cataclysm of pure storm energy. Falling stars will hex each of the target's allies.,LORE
Placeholder ,Tectonic Shift,The caster of this spell will command Sphera's plates to shift and slide. The quaking earth will cause each of the target's allies to become bound.,LORE
Placeholder ,Fireball,The caster of this spell will hurl a flaming orb toward the target.,LORE
Placeholder ,Holy Water,"This spell does a small amount of damage to its target, but its primary purpose is to heal the caster's team.",LORE
Placeholder ,Shock,The caster of this sprite will produce a burst of storm energy. The blast causes its target to become bound.,LORE
Placeholder ,Decay,This spell uses the corrosive properties of earth energy to eat away at the target apparition. A fraction of the depleted energy will be used to restore the caster's team.,LORE
Placeholder ,Expel Force,The caster of this spell will use some magic energy to produce a destructive burst using it's physical body. ,LORE
Placeholder ,Lady Solanu's Grace,This spell summons a pool of ancient healing energy. The caster's team will be healed and each ally will be granted the Blessing of the Tree.,LORE
Placeholder ,Typhoon,The caster of this spell will generate a small tornado and send it toward the target. The target will be imbued with the Curse of the Warrior. ,LORE
Placeholder ,Healing Light,The caster of this spell will produce a warm glow that completely restores the health of their team.,LORE
Placeholder ,Rubur's Water Cannon,This spell projects a destructive blast of water energy. ,LORE
Placeholder ,Rubur's Grapple,The caster of this spell will use their physical form to totally apprehend the target. The target will become bound.,LORE
Placeholder ,Lusia's Harvest Spell,This spell uses pure earth energy to generate abundant flora and cause it to grow rapidly. The arena will change to a forest.,LORE
Placeholder ,Waterlog,This spell will cause the target to become weighed down by water energy. This will grant the target the Curse of the Tree and cannot be dodged.,LORE
Placeholder ,Air Pressure,This spell crushes the enemy with the intense weight of the sky. All nearby enemies will be granted the Curse of the Tree.,LORE
Placeholder ,Superbloom ,This spell will cause earth energy to sprout from all the negativity plaguing the arena. All curses and hindrances will be removed.,LORE
Placeholder ,Rapid Strike,The caster of this spell will use magic energy to launch their apparition toward the target. This gives the caster a high chance of attacking first.,LORE
Placeholder ,Looming Danger,The caster of this spell foretells of a terrible fate. A powerful energy blast will befall the target's team after 3 turns.,LORE
Placeholder ,Intercept,"The caster of this spell will project their apparition before the target, causing them to take any spells or attacks in their target's stead.",LORE
Placeholder ,Steam Bath,This spell releases a warm blanket of water energy that calms the caster's team. All allies' curses will turn into blessings.,LORE
Placeholder ,Undertow,The caster of this spell attacks the target from behind with a rush of water energy. This grants the target the Curse of the Imp.,LORE
Placeholder ,Empathize,This spell allows the caster to fully understand the target's perspective for a moment. The caster will adopt the target's mindset.,LORE
Placeholder ,Hellfire,This spell releases a shadowy flame from beneath the target. All of the target's nearby allies will become hexed.,LORE
Placeholder ,Ball Lightning,"The caster of this spell will wait until the end of the turn to attack. Until then, any storm spells will be drawn to the caster and add to the power of the spell.",LORE
Placeholder ,Quicksand,This spell causes the earth beneath the target to soften and begin to absorb their apparition. This causes the target to be bound.,LORE
Placeholder ,Lord Morgadth's Rage,The caster of this spell will embody pure evil and cover the target with a blanket of negativity. The target and all their nearby allies will become hexed and bound.,LORE
Placeholder ,Drain Lifeforce,The caster of this spell will latch onto the target and begin to siphon their energy. Energy depleted by this spell will be used to restore the caster's team.,LORE
Placeholder ,Pyrokinesis,The caster of this spell will connect with the target telepathically and flood the channel with destructive energy. The caster will take a fraction of the damage.,LORE
Placeholder ,Downpour,This spell causes water energy to cascade down on the arena. This summons the effect of rust on the target's side of the field.,LORE
Placeholder ,Arc Blast,This spell sends a powerful burst of storm energy from the caster to the target. This grants the target the Curse of the Imp and it cannot be dodged.,LORE
Placeholder ,Hikam's Winter Spell,"This spell uses the forest's bounty to bolster their team's defenses. It fails unless the arena is forest. This resets the arena, fully restores the caster's MP and HP, and grants the Blessing of the Tree to all of the caster's allies.",LORE
Placeholder ,Osmosis,The caster of this spell absorbs energy by siphoning the target's water essence. This will restore the caster's team's HP.,LORE
Placeholder ,Flash Freeze,This spell causes the target to suddenly freeze over. This causes the target to become bound and cannot be dodged.,LORE
Placeholder ,Landslide,This spell causes the earth beneath the target to quake and split apart. This resets the arena and grants the Curse of the Warrior to the target and their nearby allies.,LORE
Placeholder ,Amand's Energy Blast,The caster of this spell generates an Energy Blast within the target's space. The power of the blast is relative to the caster's luck for the turn.,LORE
